value,CountryCode,FacultyUrl,CategoryUrl
1,PE,escuela-de-negocios,diplomado
0,PE,escuela-de-negocios,clases-conversacion-online
0,PE,escuela-de-negocios,examenes-oficiales
0,PE,escuela-de-negocios,evaluacion-oficial
0.97,PE,escuela-de-negocios,especializacion
0,PE,farmacia,clases-conversacion-online
0.5,PE,farmacia,licenciatura
0,PE,farmacia,examenes-oficiales
0.515,PE,farmacia,maestria
0.515,PE,farmacia,maestria-oficial
0.485,PE,farmacia,especializacion
0.5,PE,farmacia,diplomado
0,PE,farmacia,evaluacion-oficial
0,PE,filosofia,clases-conversacion-online
0,PE,filosofia,examenes-oficiales
0,PE,filosofia,evaluacion-oficial
1,PE,filosofia,diplomado
0.97,PE,filosofia,especializacion
1.03,PE,filosofia,maestria
1,PE,filosofia,licenciatura
1.03,PE,filosofia,maestria-oficial
0,PE,fisioterapia,clases-conversacion-online
0.485,PE,fisioterapia,especializacion
0.5,PE,fisioterapia,diplomado
0,PE,fisioterapia,evaluacion-oficial
0.5,PE,fisioterapia,licenciatura
0,PE,fisioterapia,examenes-oficiales
0.515,PE,fisioterapia,maestria
0.515,PE,fisioterapia,maestria-oficial
1.03,PE,medicina,maestria-oficial
1,PE,medicina,licenciatura
1.03,PE,medicina,maestria
0,PE,medicina,examenes-oficiales
0,PE,medicina,evaluacion-oficial
0.97,PE,medicina,especializacion
1,PE,medicina,diplomado
0,PE,medicina,clases-conversacion-online
0,PE,nutricion,clases-conversacion-online
0.6,PE,nutricion,diplomado
0.582,PE,nutricion,especializacion
0,PE,nutricion,evaluacion-oficial
0,PE,nutricion,examenes-oficiales
0.6,PE,nutricion,licenciatura
0.618,PE,nutricion,maestria
0.618,PE,nutricion,maestria-oficial
1,PE,odontologia,licenciatura
1.03,PE,odontologia,maestria
1.03,PE,odontologia,maestria-oficial
0,PE,odontologia,clases-conversacion-online
0,PE,odontologia,examenes-oficiales
0,PE,odontologia,evaluacion-oficial
0.97,PE,odontologia,especializacion
1,PE,odontologia,diplomado
0,PE,psicologia,clases-conversacion-online
0.6,PE,psicologia,diplomado
0.582,PE,psicologia,especializacion
0,PE,psicologia,evaluacion-oficial
0,PE,psicologia,examenes-oficiales
0.6,PE,psicologia,licenciatura
0.618,PE,psicologia,maestria
0.618,PE,psicologia,maestria-oficial
