AMOUNT,Code,FacultyUrl,CategoryUrl
4875,PE,odontologia,master
3900,PE,psicologia,master
3900,PE,nutricion,master
3900,PE,medicina,master
3900,PE,fisioterapia,master
3900,ES,filosofia,master
3900,ES,escuela-de-negocios,master
3900,ES,farmacia,master
3900,ES,escuela-de-idiomas,master
3900,ES,enfermeria,master
3900,ES,educacion,master
4875,ES,odontologia,master
3900,ES,psicologia,master
3900,ES,nutricion,master
3900,ES,medicina,master
3900,ES,fisioterapia,master
3900,ES,fisioterapia,master-universitario
3900,ES,medicina,master-universitario
3900,ES,nutricion,master-universitario
4875,ES,odontologia,master-universitario
3900,ES,psicologia,master-universitario
3900,ES,educacion,master-universitario
3900,ES,enfermeria,master-universitario
3900,ES,escuela-de-idiomas,master-universitario
3900,ES,farmacia,master-universitario
3900,ES,escuela-de-negocios,master-universitario
3900,ES,filosofia,master-universitario
3900,PE,fisioterapia,master-universitario
3900,PE,medicina,master-universitario
3900,PE,nutricion,master-universitario
4875,PE,odontologia,master-universitario
3900,PE,psicologia,master-universitario
3900,PE,educacion,master-universitario
3900,PE,enfermeria,master-universitario
3900,PE,escuela-de-idiomas,master-universitario
3900,PE,farmacia,master-universitario
3900,PE,escuela-de-negocios,master-universitario
3900,PE,filosofia,master-universitario
3900,AR,fisioterapia,master-universitario
3900,AR,medicina,master-universitario
3900,AR,nutricion,master-universitario
4875,AR,odontologia,master-universitario
3900,AR,psicologia,master-universitario
3900,AR,educacion,master-universitario
3900,AR,enfermeria,master-universitario
3900,AR,escuela-de-idiomas,master-universitario
3900,AR,farmacia,master-universitario
3900,AR,escuela-de-negocios,master-universitario
3900,AR,filosofia,master-universitario
3900,CO,fisioterapia,master-universitario
3900,CO,medicina,master-universitario
3900,CO,nutricion,master-universitario
4875,CO,odontologia,master-universitario
3900,CO,psicologia,master-universitario
3900,CO,educacion,master-universitario
3900,CO,enfermeria,master-universitario
3900,CO,escuela-de-idiomas,master-universitario
3900,CO,farmacia,master-universitario
3900,CO,escuela-de-negocios,master-universitario
3900,CO,filosofia,master-universitario
3900,MX,fisioterapia,master-universitario
3900,MX,medicina,master-universitario
3900,MX,nutricion,master-universitario
4875,MX,odontologia,master-universitario
3900,MX,psicologia,master-universitario
3900,MX,educacion,master-universitario
3900,MX,enfermeria,master-universitario
3900,MX,escuela-de-idiomas,master-universitario
3900,MX,farmacia,master-universitario
3900,MX,escuela-de-negocios,master-universitario
3900,MX,filosofia,master-universitario
0,ES,farmacia,oposiciones
0,ES,filosofia,oposiciones
790,ES,escuela-de-negocios,oposiciones
0,ES,escuela-de-idiomas,oposiciones
0,ES,educacion,oposiciones
0,ES,enfermeria,oposiciones
0,ES,nutricion,oposiciones
0,ES,odontologia,oposiciones
0,ES,psicologia,oposiciones
0,ES,medicina,oposiciones
0,ES,fisioterapia,oposiciones
0,PE,farmacia,oposiciones
0,PE,filosofia,oposiciones
790,PE,escuela-de-negocios,oposiciones
0,PE,escuela-de-idiomas,oposiciones
0,PE,educacion,oposiciones
0,PE,enfermeria,oposiciones
0,PE,nutricion,oposiciones
0,PE,odontologia,oposiciones
0,PE,psicologia,oposiciones
0,PE,medicina,oposiciones
0,PE,fisioterapia,oposiciones
0,CO,farmacia,oposiciones
0,CO,filosofia,oposiciones
790,CO,escuela-de-negocios,oposiciones
0,CO,escuela-de-idiomas,oposiciones
0,CO,educacion,oposiciones
0,CO,enfermeria,oposiciones
0,CO,nutricion,oposiciones
0,CO,odontologia,oposiciones
0,CO,psicologia,oposiciones
0,CO,medicina,oposiciones
0,CO,fisioterapia,oposiciones
0,AR,farmacia,oposiciones
0,AR,filosofia,oposiciones
790,AR,escuela-de-negocios,oposiciones
0,AR,escuela-de-idiomas,oposiciones
0,AR,educacion,oposiciones
0,AR,enfermeria,oposiciones
0,AR,nutricion,oposiciones
0,AR,odontologia,oposiciones
0,AR,psicologia,oposiciones
0,AR,medicina,oposiciones
0,AR,fisioterapia,oposiciones
0,MX,farmacia,oposiciones
0,MX,filosofia,oposiciones
790,MX,escuela-de-negocios,oposiciones
0,MX,escuela-de-idiomas,oposiciones
0,MX,educacion,oposiciones
0,MX,enfermeria,oposiciones
0,MX,nutricion,oposiciones
0,MX,odontologia,oposiciones
0,MX,psicologia,oposiciones
0,MX,medicina,oposiciones
0,MX,fisioterapia,oposiciones
